Division,Stop Name,Borough,Daytime Routes,GTFS Latitude,GTFS Longitude,School Name
BMT,23 St,M,R W,40.741303,-73.989344,Baruch
IND,145 St,M,A B C D,40.824783,-73.944216,City College Of New York
IND,135 St,M,B C,40.817894,-73.947649,City College Of New York
IND,125 St,M,A B C D,40.811109,-73.952343,City College Of New York
IRT,137 St - City College,M,1,40.822008,-73.953676,City College Of New York
IRT,125 St,M,1,40.815581,-73.958372,City College Of New York
IRT,28 St,M,6,40.74307,-73.984264,Baruch
IRT,23 St,M,6,40.739864,-73.986599,Baruch
IRT,125 St,M,2 3,40.807754,-73.945495,City College Of New York
IND,Bedford Park Blvd,Bx,B D,40.873244,-73.887138,Lehman
IRT,Bedford Park Blvd - Lehman College,Bx,4,40.873412,-73.890064,Lehman
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,"40.7406° N, 73.9829° W",,
